Date	High	Low	Open	Close	Volume	Adj Close
2009-03-20	53.5	52.5	53.5	52.5	100.0	45.91795349121094
2009-03-23	52.02000045776367	51.5	51.5	51.91999816894531	1200.0	45.41067123413086
2009-03-24	51.95000076293945	51.59000015258789	51.95000076293945	51.849998474121094	10200.0	45.34944152832031
2009-03-25	51.849998474121094	51.849998474121094	51.849998474121094	51.849998474121094	0.0	45.34944152832031
2009-03-26	52.54999923706055	52.54999923706055	52.54999923706055	52.54999923706055	100.0	45.9616813659668
2009-03-27	55.34000015258789	54.02000045776367	55.34000015258789	54.02000045776367	3200.0	47.24738693237305
2009-03-30	50.20000076293945	48.150001525878906	50.20000076293945	48.75	1000.0	42.638099670410156
2009-03-31	48.75	48.75	48.75	48.75	0.0	42.638099670410156
2009-04-01	46.95000076293945	46.95000076293945	46.95000076293945	46.95000076293945	200.0	41.06376647949219
2009-04-02	56.0	53.900001525878906	53.900001525878906	56.0	2700.0	48.979148864746094
2009-04-03	57.900001525878906	56.900001525878906	57.900001525878906	56.900001525878906	200.0	49.76631164550781
2009-04-06	59.0	57.25	59.0	57.25	200.0	50.07243347167969
2009-04-07	57.25	57.25	57.25	57.25	0.0	50.07243347167969
2009-04-08	58.0	58.0	58.0	58.0	100.0	50.72840118408203
2009-04-09	62.0	60.0	61.349998474121094	60.0	700.0	52.477657318115234
2009-04-13	63.099998474121094	61.75	63.099998474121094	61.75	400.0	54.00825881958008
2009-04-14	65.5	64.75	64.75	65.5	100.0	57.28811264038086
2009-04-15	64.0	64.0	64.0	64.0	200.0	55.976173400878906
2009-04-16	65.55000305175781	65.55000305175781	65.55000305175781	65.55000305175781	200.0	57.331844329833984
2009-04-17	65.5	65.5	65.5	65.5	100.0	57.28811264038086
2009-04-20	62.0	59.0	59.0	62.0	1000.0	54.22691345214844
2009-04-21	62.0	62.0	62.0	62.0	0.0	54.22691345214844
2009-04-22	62.900001525878906	62.900001525878906	62.900001525878906	62.900001525878906	300.0	55.01408004760742
2009-04-23	69.19999694824219	67.75	67.8499984741211	67.8499984741211	300.0	59.34349060058594
2009-04-24	67.8499984741211	67.8499984741211	67.8499984741211	67.8499984741211	0.0	59.34349060058594
2009-04-27	67.8499984741211	67.8499984741211	67.8499984741211	67.8499984741211	0.0	59.34349060058594
2009-04-28	67.8499984741211	67.8499984741211	67.8499984741211	67.8499984741211	0.0	59.34349060058594
2009-04-29	67.8499984741211	67.8499984741211	67.8499984741211	67.8499984741211	0.0	59.34349060058594
2009-04-30	71.87999725341797	71.87999725341797	71.87999725341797	71.87999725341797	200.0	62.86823272705078
2009-05-01	71.87999725341797	71.87999725341797	71.87999725341797	71.87999725341797	0.0	62.86823272705078
2009-05-04	77.0999984741211	76.44999694824219	76.44999694824219	77.0999984741211	1100.0	67.43379974365234
2009-05-05	77.0999984741211	77.0999984741211	77.0999984741211	77.0999984741211	0.0	67.43379974365234
2009-05-06	82.0	75.75	75.75	78.0	700.0	68.22096252441406
2009-05-07	67.0	62.099998474121094	67.0	64.0	5200.0	55.976173400878906
2009-05-08	64.69999694824219	64.30000305175781	64.69999694824219	64.30000305175781	300.0	56.23855972290039
2009-05-11	61.0	61.0	61.0	61.0	200.0	53.35228729248047
2009-05-12	56.75	54.75	56.75	55.0	900.0	48.10451889038086
2009-05-13	50.45000076293945	49.70000076293945	49.75	50.45000076293945	900.0	44.12495803833008
2009-05-14	53.099998474121094	50.20000076293945	51.709999084472656	53.099998474121094	700.0	46.442726135253906
2009-05-15	55.75	55.75	55.75	55.75	100.0	48.76049041748047
2009-05-18	54.5	54.5	54.5	54.5	300.0	47.66720199584961
2009-05-19	58.0	57.5	57.5	57.5	3100.0	50.29109191894531
2009-05-20	59.75	59.70000076293945	59.75	59.70000076293945	2000.0	52.215274810791016
2009-05-21	60.099998474121094	60.0	60.0	60.099998474121094	300.0	52.565120697021484
2009-05-22	60.099998474121094	60.099998474121094	60.099998474121094	60.099998474121094	0.0	52.565120697021484
2009-05-26	61.29999923706055	58.75	58.75	61.29999923706055	100.0	53.614681243896484
2009-05-27	61.25	60.16999816894531	61.0	60.29999923706055	500.0	52.740047454833984
2009-05-28	60.0	58.25	58.25	58.75	200.0	51.38438034057617
2009-05-29	59.849998474121094	59.849998474121094	59.849998474121094	59.849998474121094	100.0	52.34646224975586
2009-06-01	64.5999984741211	63.75	64.5999984741211	63.75	100.0	55.757511138916016
2009-06-02	66.56999969482422	65.3499984741211	65.3499984741211	66.56999969482422	300.0	58.223960876464844
2009-06-03	64.1500015258789	63.5	63.5	64.1500015258789	100.0	56.107364654541016
2009-06-04	66.5999984741211	66.5999984741211	66.5999984741211	66.5999984741211	100.0	58.250205993652344
2009-06-05	64.8499984741211	64.8499984741211	64.8499984741211	64.8499984741211	100.0	56.719600677490234
2009-06-08	66.0	65.4000015258789	65.4000015258789	66.0	400.0	57.72542190551758
2009-06-09	66.0	65.41000366210938	66.0	65.41000366210938	400.0	57.20939636230469
2009-06-10	65.41000366210938	65.41000366210938	65.41000366210938	65.41000366210938	0.0	57.20939636230469
